"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level","Result type",Results,"Cost per result","Amount spent (AUD)",Impressions,Reach,"Attribution setting","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Purchases,"Purchases conversion value","Link clicks","Reporting starts","Reporting ends"
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe White grow",2026-04-14,active,ad,,,,4.56,234,162,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,2,2026-04-14,2026-04-14
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Nursery Chairs",2026-04-14,active,ad,,,,20.71,1526,925,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,54,2026-04-14,2026-04-14
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Cot | Built for every milestone",2026-04-14,active,ad,"Website purchases",1,8.21,8.21,463,284,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",1,949.12,5,2026-04-14,2026-04-14
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Dresser | Effortless organization",2026-04-14,active,ad,"Website purchases",1,6.71,6.71,522,336,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",1,2296.68,13,2026-04-14,2026-04-14
"RB | Traffic | 260326","RB | Traffic | LPV | LL | FB IG | 260326","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-14,active,ad,"Landing page views",47,0.31191489,14.66,1849,1470,"7-day click or 1-day view",-,-,-,"RB | Traffic | LPV | LL | FB IG | 260326",,,56,2026-04-14,2026-04-14
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Evoke Bundle",2026-04-14,active,ad,,,,13.06,1015,740,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,11,2026-04-14,2026-04-14
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-04-14,active,ad,,,,16.94,1057,665,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,8,2026-04-14,2026-04-14
"RB | Traffic | 260326","RB | Traffic | LPV | LL | FB IG | 260326","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-13,active,ad,"Landing page views",42,0.32809524,13.78,1837,1442,"7-day click or 1-day view",-,-,-,"RB | Traffic | LPV | LL | FB IG | 260326",,,48,2026-04-13,2026-04-13
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-04-13,active,ad,"Website purchases",0,,16.53,1049,713,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",0,128.14,12,2026-04-13,2026-04-13
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Evoke Bundle",2026-04-13,active,ad,,,,20.15,1518,1026,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,17,2026-04-13,2026-04-13
