"Day","Online store visitors","Sessions","Day (previous_period)","Online store visitors (previous_period)","Sessions (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) "
"2025-08-01",152,168,"2024-11-16",0,0,,
"2025-08-02",164,190,"2024-11-17",0,0,,
"2025-08-03",202,226,"2024-11-18",0,0,,
"2025-08-04",192,214,"2024-11-19",0,0,,
"2025-08-05",161,179,"2024-11-20",0,0,,
"2025-08-06",115,122,"2024-11-21",0,0,,
"2025-08-07",138,160,"2024-11-22",0,0,,
"2025-08-08",131,150,"2024-11-23",0,0,,
"2025-08-09",175,193,"2024-11-24",0,0,,
"2025-08-10",206,223,"2024-11-25",0,0,,
"2025-08-11",171,192,"2024-11-26",0,0,,
"2025-08-12",151,168,"2024-11-27",0,0,,
"2025-08-13",198,215,"2024-11-28",0,0,,
"2025-08-14",190,215,"2024-11-29",0,0,,
"2025-08-15",193,216,"2024-11-30",0,0,,
"2025-08-16",190,205,"2024-12-01",0,0,,
"2025-08-17",171,196,"2024-12-02",0,0,,
"2025-08-18",146,160,"2024-12-03",0,0,,
"2025-08-19",148,174,"2024-12-04",0,0,,
"2025-08-20",164,190,"2024-12-05",0,0,,
"2025-08-21",181,205,"2024-12-06",0,0,,
"2025-08-22",403,420,"2024-12-07",0,0,,
"2025-08-23",369,392,"2024-12-08",0,0,,
"2025-08-24",416,449,"2024-12-09",0,0,,
"2025-08-25",309,349,"2024-12-10",0,0,,
"2025-08-26",271,295,"2024-12-11",0,0,,
"2025-08-27",209,231,"2024-12-12",0,0,,
"2025-08-28",242,266,"2024-12-13",0,0,,
"2025-08-29",167,185,"2024-12-14",0,0,,
"2025-08-30",161,180,"2024-12-15",0,0,,
"2025-08-31",180,194,"2024-12-16",0,0,,
"2025-09-01",158,184,"2024-12-17",0,0,,
"2025-09-02",148,170,"2024-12-18",0,0,,
"2025-09-03",140,161,"2024-12-19",0,0,,
"2025-09-04",72,91,"2024-12-20",0,0,,
"2025-09-05",101,113,"2024-12-21",0,0,,
"2025-09-06",78,92,"2024-12-22",0,0,,
"2025-09-07",98,113,"2024-12-23",0,0,,
"2025-09-08",97,109,"2024-12-24",0,0,,
"2025-09-09",100,115,"2024-12-25",0,0,,
