Date,Campaign name,Ad group name,Ad name,Ad entity status,Ad ID,Spend in account currency,Impressions,Reach,Frequency,CPM,Result,Cost per result,Pin clicks,CTR,CPC,Outbound clicks,Saves,Engagements,Engagement rate,Total CPA (Checkout),Total ROAS (Checkout),Total conversions (Checkout),Total order value (Checkout),Total click-through conversions (Checkout),Total click-through order value (Checkout),Total engagement conversions (Checkout),Total engagement order value (Checkout),Total view-through conversions (Checkout),Total view-through order value (Checkout),Total CPA (Add to cart),Total ROAS (Add to cart),Total conversions (Add to cart),Total order value (Add to cart),Total click-through conversions (Add to cart),Total click-through order value (Add to cart),Total engagement conversions (Add to cart),Total engagement order value (Add to cart),Total view-through conversions (Add to cart),Total view-through order value (Add to cart),Total CPA (Page visit),Total ROAS (Page visit),Total conversions (Page visit),Total order value (Page visit),Total click-through conversions (Page visit),Total click-through order value (Page visit),Total engagement conversions (Page visit),Total engagement order value (Page visit),Total view-through conversions (Page visit),Total view-through order value (Page visit),Total CPA (Initiate checkout),Total ROAS (Initiate checkout),Total conversions (Initiate checkout),Total order value (Initiate checkout),Average order value (Initiate checkout),Total click-through conversions (Initiate checkout),Total click-through order value (Initiate checkout),Total engagement conversions (Initiate checkout),Total engagement order value (Initiate checkout),Total view-through conversions (Initiate checkout),Total view-through order value (Initiate checkout),Earned saves,Organic pin ID
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Every change is a moment too.,ACTIVE,PP687311495517,1.82,64,48,1.3333333333333333,28.504609375,[2],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9121475,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525275953084
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Every change is a moment too.,ACTIVE,PP687311495517,5.04,404,394,1.0253807106598984,12.480349009900989,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525275953084
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Every change is a moment too.,ACTIVE,PP687311495517,7.48,578,527,1.096774193548387,12.94113321799308,[0],[0.934996875],8,0.01384083044982699,0.934996875,8,0,8,0.01384083044982699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525275953084
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Every change is a moment too.,ACTIVE,PP687311495517,9.95,595,532,1.118421052631579,16.7198,[8],[1.421183],7,0.011764705882352941,1.421183,8,0,8,0.013445378151260505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6580468333333334,75.2893891919619,6,749.00,6,749.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525275953084
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Every change is a moment too.,ACTIVE,PP687311495517,8.07,447,419,1.0668257756563246,18.060713646532438,[0],[0.7339217272727273],11,0.024608501118568233,0.7339217272727273,11,0,11,0.024608501118568233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525275953084
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Every change is a moment too.,ACTIVE,PP687311495517,5.49,313,280,1.1178571428571429,17.52417891373802,[2],[1.0970136000000001],5,0.01597444089456869,1.0970136000000001,5,0,5,0.01597444089456869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.742534,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525275953084
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Every change is a moment too.,ACTIVE,PP687311495517,1.82,91,80,1.1375,20.046527472527472,[0],[0.912117],2,0.02197802197802198,0.912117,2,0,2,0.02197802197802198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525275953084
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat Australia - Co,ACTIVE,PP687311495518,1.08,13,8,1.625,83.3113076923077,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274916405
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat Australia - Co,ACTIVE,PP687311495518,4.82,361,350,1.0314285714285714,13.361415512465374,[3],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6078236666666668,383.33391037284144,3,1849.00,0,0,0,0,3,1849.00,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274916405
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat Australia - Co,ACTIVE,PP687311495518,7.51,592,540,1.0962962962962963,12.67823310810811,[8],[2.501838],3,0.005067567567567568,2.501838,3,0,3,0.005067567567567568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93818925,489.5067812810688,8,3674.00,4,676.00,0,0,4,2998.00,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274916405
