"Day","Product title","Product variant SKU","Month","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales","Orders"
"2026-06-01","COCOON BREEZE BEDSIDE BASSINET","CSTB","2026-06-01",1,345.45,0,0,345.45,34.54,379.99,1
"2026-06-01",,,"2026-06-01",0,0,0,0,0,28.56,314.2,0
"2026-06-01","COCOON Comfy change mat - Latte","CCCML","2026-06-01",2,288.84,0,0,288.84,28.88,317.72,2
"2026-06-01","VIBE DRESSER Sandstone","VBS","2026-06-01",2,1536.5,0,0,1536.5,153.64,1690.14,2
"2026-06-01","COCOON Vibe Sandstone including an Australian made Inner Spring mattress & Toddler bed rail","CVSSMT","2026-06-01",2,1536.5,0,0,1536.5,153.64,1690.14,2
"2026-06-01","COCOON Nest / LOLLI Furniture Sprout mattress set","CNSMS","2026-06-01",1,262.73,0,0,262.73,26.27,289,1
"2026-06-01","COCOON FLAIR (V.2.0) including an Australian made inner spring mattress","CFCSM","2026-06-01",1,817.27,0,0,817.27,81.73,899,1
"2026-06-01","COCOON URBAN Innovative 3 in 1 High Chair","CUHC","2026-06-01",3,897,-897,0,0,0,0,3
"2026-06-01","COCOON Cot Fitted Sheets","CCSHVYSLPR","2026-06-01",2,81.78,0,0,81.78,8.18,89.96,1
"2026-06-01","COCOON Australian made Oval Organic cotton Mattress","CEMBC","2026-06-01",1,262.73,0,0,262.73,26.27,289,1
"2026-06-02","COCOON URBAN Innovative 3 in 1 High Chair","CUHC","2026-06-01",3,897,-897,0,0,0,0,3
"2026-06-02","COCOON Fitted Cot Sheet – Heavy Sleeper","CCSHVYSLPR","2026-06-01",1,40.89,-8.17,0,32.72,3.27,35.99,1
"2026-06-02","COCOON Comfy change mat - Latte","CCCML","2026-06-01",1,153.63,-15.36,0,138.27,13.83,152.1,1
"2026-06-02",,,"2026-06-01",0,0,0,0,0,28.09,309.12,0
"2026-06-02","COCOON Australian made Oval Organic cotton Mattress","CEMBC","2026-06-01",1,262.73,0,0,262.73,26.27,289,1
"2026-06-02","VIBE DRESSER Sandstone","VBS","2026-06-01",1,817.27,0,0,817.27,81.73,899,1
"2026-06-02","COCOON Cot Fitted Sheets","CCSLZYBNY","2026-06-01",1,40.89,0,0,40.89,4.09,44.98,1
"2026-06-02","COCOON Allure Dove Grey/Natural wash including an Australian made inner spring mattress","CADG","2026-06-01",1,635.45,0,0,635.45,63.55,699,1
"2026-06-02","COCOON Australian made Oval Bamboo Mattress","CEMBC","2026-06-01",1,262.73,0,0,262.73,26.27,289,1
"2026-06-02","COCOON NEST WHITE Including the Australian made mattress set","CNWMS","2026-06-01",1,999.09,0,0,999.09,99.91,1099,1
"2026-06-03","COCOON Australian made Oval Bamboo Mattress","CEMBC","2026-06-01",1,262.73,0,0,262.73,26.27,289,1
"2026-06-03","COCOON Evolve 4 in 1 Sandstone Including the Australian made mattress set & Toddler bed Conversion Kit","CEMTD","2026-06-01",1,862.73,0,0,862.73,86.27,949,1
"2026-06-03",,,"2026-06-01",0,0,0,0,0,16.09,176.92,0
"2026-06-03","COCOON Piccolo Toddler Bed Rail","CPTT","2026-06-01",1,72.71,0,0,72.71,7.27,79.98,1
"2026-06-03","COCOON URBAN Innovative 3 in 1 High Chair","CUHC","2026-06-01",1,299,-299,0,0,0,0,1
